Time (d),Excess Pore Pressure (kPa)
0.0,0.0
0.333333,28.6492
0.666667,20.770200000000003
1.0,15.888770000000001
1.0,15.888770000000001
3.01932,14.194780000000002
5.03865,7.2904
8.03865,3.70251
10.0,2.5699500000000004
10.0,2.5699500000000004
12.0193,8.64085
14.0386,5.31597
17.372,2.9729400000000004
20.0,2.0813500000000005
20.0,2.0813500000000005
22.0193,7.9441500000000005
24.0386,5.247210000000001
31.3722,2.250260000000001
38.7057,1.2695800000000013
46.0392,0.8550300000000011
59.3725,0.5210699999999999
60.0,0.5063100000000009
60.0,0.5063100000000009
60.3333,0.4984700000000011
60.6667,0.49088000000000065
61.0,0.48348999999999975
61.0,0.48348999999999975
61.3333,0.47630000000000017
61.6667,0.46928000000000125
62.0,0.46243000000000123
62.0,0.46243000000000123
63.0,0.44302000000000064
64.0,0.4247600000000009
65.0,0.40747
